code,chapter,jsonVerse,txtVerse,title,txtLine,reason
LEV,6,12,19,A oferta na consagração dos sacerdotes,33826,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
LEV,6,17,24,A lei da oferta pelo pecado,33882,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
NUM,16,6,41,Novo tumulto e seu castigo,50190,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
NUM,17,16,1,O bordão de Arão floresce,50323,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
NUM,30,2,1,Acerca de votos,55150,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
DEU,13,2,1,Contra os falsos profetas e os idólatras,62970,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
DEU,23,2,1,Pessoas excluídas das assembleias santas,66018,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
DEU,23,10,9,Limpeza do acampamento,66125,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
DEU,23,16,15,"Acerca de fugitivos, prostitutas e usura",66191,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
DEU,23,22,21,Acerca de votos,66247,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
DEU,29,69,1,Deus faz nova aliança com o povo,68351,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1SA,18,6,7,O cântico das mulheres indigna a Saul,92960,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1SA,21,2,1,Davi vai ter com o sacerdote Aimeleque,94113,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1SA,21,11,10,"Davi foge para Aquis, rei de Gate",94239,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1SA,24,2,1,Davi poupa a vida de Saul,95012,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1SA,31,8,1,A sepultura de Saul,97462,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2SA,3,2,1,A família de Davi em Hebrom,98320,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2SA,5,6,1,Davi conquista Sião,99058,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2SA,5,11,1,O reinado de Davi reconhecido por Hirão,99141,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2SA,5,13,1,Os filhos de Davi que nasceram em Jerusalém,99173,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2SA,5,17,1,Davi derrota os filisteus,99203,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2SA,6,12,1,A arca é levada para Jerusalém,99467,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2SA,7,18,1,Ações de graças de Davi,99843,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2SA,8,15,2,Oficiais de Davi,100185,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2SA,12,15,16,A morte do filho de Bate-Seba,101195,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2SA,12,26,1,Davi conquista Rabá,101350,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2SA,19,2,1,Joabe reprova a Davi,103974,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2SA,19,12,11,Davi volta para Jerusalém,104139,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2SA,19,17,16,Simei encontra-se com Davi,104199,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2SA,19,25,24,Mefibosete encontra-se com Davi,104322,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2SA,19,32,31,Barzilai encontra-se com Davi,104404,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2SA,20,23,2,Oficiais de Davi,104915,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2SA,21,15,1,Gigantes mortos pelos homens de Davi,105151,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2SA,23,8,1,Os valentes de Davi,105771,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2SA,24,10,1,Davi escolhe o castigo,106207,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2SA,24,18,1,Davi erige um altar na eira de Araúna,106362,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1KI,3,3,2,Salomão pede a Deus sabedoria,107773,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1KI,4,9,29,A sabedoria de Salomão,108415,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1KI,5,15,2,Salomão faz aliança com Hirão,108508,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1KI,5,27,2,Os preparativos para edificar o templo,108683,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1KI,6,1,2,Salomão edifica o templo,108755,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1KI,6,23,2,Os dois querubins,109055,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1KI,7,15,2,As duas colunas do templo,109419,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1KI,7,23,2,O mar de fundição,109507,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1KI,7,27,2,Outros utensílios para o templo,109584,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1KI,7,51,2,As dádivas de Davi colocadas no templo,109908,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1KI,8,1,2,Salomão traz para o templo a arca,109940,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1KI,8,12,2,Salomão fala ao povo,110103,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1KI,8,22,2,Salomão ora a Deus,110213,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1KI,8,62,2,A conclusão da solenidade,110797,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1KI,9,1,2,A aliança do Senhor com Salomão,110863,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1KI,9,10,2,As demais atividades de Salomão,111000,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1KI,10,1,2,A rainha de Sabá visita a Salomão,111223,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1KI,10,14,2,As riquezas de Salomão,111388,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1KI,11,41,2,A morte de Salomão,112137,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1KI,12,1,2,Roboão causa separação entre as tribos,112173,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1KI,12,16,2,Dez tribos seguem Jeroboão,112368,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1KI,14,21,2,"O reinado de Roboão, de Judá",113314,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1KI,15,1,2,"O reinado de Abias, de Judá",113449,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1KI,15,9,2,"O reinado de Asa, de Judá",113529,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1KI,22,1,2,"Aliança entre Josafá, de Judá, e Acabe",116435,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1KI,22,5,2,As profecias dos falsos profetas,116477,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1KI,22,13,2,A profecia de Micaías,116575,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1KI,22,29,2,A morte de Acabe,116827,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1KI,22,41,2,O reinado e a morte de Josafá,116986,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1KI,22,53,52,"O reinado de Acazias, de Israel",117094,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,5,19,20,Geazi é atacado de lepra,118942,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,8,16,2,O reinado de Jeorão,120063,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,8,25,2,O reinado de Acazias,120149,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,11,1,2,Atalia usurpa o trono de Judá,121214,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,11,4,2,Joás ungido rei de Judá,121252,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,11,13,2,A morte de Atalia,121397,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,11,17,2,A aliança de Joiada,121441,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,12,21,2,A conspiração contra o rei Joás,121791,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,14,1,2,"O reinado de Amazias, de Judá",122157,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,14,7,2,Amazias vence os edomitas,122260,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,14,8,2,Amazias derrotado por Jeoás,122276,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,14,17,2,"A morte de Amazias, rei de Judá",122417,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,15,1,2,"O reinado de Azarias, de Judá",122598,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,15,5,2,Azarias é atacado de lepra,122642,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,15,32,2,"O reinado de Jotão, de Judá",122970,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,16,1,2,"O reinado de Acaz, de Judá",123073,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,16,10,2,A idolatria de Acaz,123171,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,16,19,2,A morte de Acaz,123324,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,18,1,2,"O reinado de Ezequias, de Judá",123940,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,18,13,2,Senaqueribe invade Judá,124093,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,18,19,2,Rabsaqué afronta a Ezequias e ao SENHOR,124177,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,19,35,2,A destruição do exército dos assírios,124932,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,20,1,2,A doença de Ezequias e a sua cura maravilhosa,124976,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,20,20,2,A morte de Ezequias,125203,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,21,1,2,"O reinado de Manassés, de Judá",125272,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,21,17,2,A morte de Manassés,125463,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,21,19,2,"O reinado de Amom, de Judá",125495,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,22,1,2,O reinado de Josias,125592,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,22,3,2,O rei repara o templo,125622,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,22,8,2,Hilquias acha o Livro da Lei,125676,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,22,11,2,Josias manda consultar a profetisa Hulda,125714,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,23,4,2,A purificação do templo e do culto,125960,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,23,21,2,A celebração da Páscoa,126225,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,23,28,2,A morte de Josias,126350,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,23,31,2,O reinado e deposição de Joacaz,126396,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,23,36,2,O reinado de Jeoaquim,126499,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,24,8,2,O reinado de Joaquim,126640,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,24,18,2,O reinado de Zedequias,126784,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2KI,25,8,2,O cativeiro de Judá,126939,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1CH,3,1,2,Filhos de Davi,128233,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1CH,6,27,1,Descendentes de Levi,129201,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1CH,6,16,31,Cantores levitas,129445,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1CH,6,34,49,Descendentes de Arão,129594,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1CH,6,39,54,As cidades dos levitas,129636,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1CH,10,8,1,A sepultura de Saul,131240,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1CH,11,1,2,Davi é ungido rei,131320,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1CH,11,4,2,Davi conquista a Sião,131354,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1CH,11,10,2,Os valentes de Davi,131451,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1CH,12,24,23,O exército que proclamou a Davi rei em Hebrom,132034,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1CH,13,5,2,Davi procura trazer a arca,132316,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1CH,14,1,2,O reinado de Davi reconhecido por Hirão,132449,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1CH,14,3,2,Os filhos de Davi que nasceram em Jerusalém,132471,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1CH,14,8,2,Davi derrota os filisteus,132503,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1CH,15,29,2,Mical despreza a Davi,132994,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1CH,17,1,2,A aliança do Senhor com Davi,133449,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1CH,17,16,2,Ações de graças de Davi,133624,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1CH,18,1,2,Diversas vitórias de Davi,133789,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1CH,18,14,2,Oficiais de Davi,133950,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1CH,19,1,2,Davi derrota os amonitas e os siros,133986,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1CH,20,1,2,Davi conquista a Rabá,134262,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1CH,20,4,2,Gigantes mortos pelos homens de Davi,134300,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1CH,21,1,2,O levantamento do censo,134350,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1CH,21,7,2,Davi escolhe o castigo,134449,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1CH,21,18,2,Davi erige um altar na eira de Ornã,134616,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
1CH,29,22,23,Salomão proclamado rei,137449,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,1,7,1,Salomão pede a Deus sabedoria,137632,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,1,14,1,As riquezas de Salomão,137769,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,2,18,1,Salomão faz aliança com Hirão,137837,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,2,16,1,Os preparativos para edificar o templo,138076,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,3,10,1,Os dois querubins,138237,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,3,15,1,As duas colunas,138328,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,4,6,1,Outros utensílios para o templo,138449,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,5,2,1,Salomão traz para o templo a arca,138660,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,6,12,1,Salomão ora a Deus,139000,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,7,4,1,A conclusão da solenidade,139499,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,7,11,1,A aliança do Senhor com Salomão,139589,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,9,13,1,As riquezas de Salomão,140193,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,9,29,1,A morte de Salomão,140372,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,10,16,1,Dez tribos seguem Jeroboão,140599,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,12,13,1,O reinado de Roboão,141062,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,14,23,1,O reinado de Asa,141420,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,14,8,9,"Asa vence a Zerá, o etíope",141559,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,16,11,1,A morte de Asa,142044,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,18,4,1,As promessas dos falsos profetas,142358,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,18,12,1,A profecia de Micaías,142485,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,18,28,1,A morte de Acabe,142678,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,20,31,1,O reinado e a morte de Josafá,143360,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,21,1,2,O reinado de Jeorão,143444,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,22,1,2,O reinado de Acazias,143730,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,22,10,2,Atalia usurpa o trono,143883,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,23,1,2,Joás ungido rei de Judá,143923,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,23,12,2,A morte de Atalia,144080,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,23,16,2,A aliança de Joiada,144163,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,24,1,2,O reinado de Joás,144247,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,24,25,2,A conspiração contra o rei Joás,144601,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,25,1,2,O reinado de Amazias,144678,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,25,5,2,Amazias vence os edomitas,144728,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,25,17,2,Amazias derrotado por Jeoás,144923,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,25,25,2,"A morte de Amazias, de Judá",145078,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,26,1,2,O reinado de Uzias,145126,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,26,16,2,Uzias é atacado de lepra,145325,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,27,1,2,O reinado de Jotão,145492,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,28,1,2,O reinado de Acaz,145637,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,28,16,2,Acaz pede socorro aos assírios,145872,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,28,22,2,A idolatria de Acaz,145963,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,28,26,2,A morte de Acaz,146019,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,29,1,2,Ezequias manda abrir o templo,146063,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,32,9,2,Senaqueribe afronta a Ezequias e ao Senhor,147461,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,32,21,2,A destruição do exército dos assírios,147634,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,32,24,2,Doença de Ezequias,147707,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,32,32,2,A morte de Ezequias,147805,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,33,1,2,O reinado de Manassés,147872,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,33,18,2,A morte de Manassés,148111,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,33,21,2,O reinado de Amom,148157,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,34,1,2,O reinado de Josias,148242,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,34,3,2,A purificação do templo e do culto,148260,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,34,8,2,O rei repara o templo,148326,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,34,14,2,Hilquias acha o Livro da Lei,148451,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,34,19,2,Josias manda consultar a profetisa Hulda,148513,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,34,29,2,Josias renova a aliança ante o Senhor,148686,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,35,1,2,A celebração da Páscoa,148797,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,35,20,2,A morte de Josias no vale de Megido,149089,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,36,1,2,O reinado e deposição de Joacaz,149191,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,36,5,2,O reinado de Jeoaquim,149280,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,36,9,2,O reinado de Joaquim,149332,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,36,11,2,O reinado de Zedequias,149356,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
2CH,36,17,2,O cativeiro de Judá,149453,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
NEH,4,33,1,A defesa contra os adversários,154022,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
NEH,7,69,70,Contribuições para o templo,155529,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
NEH,9,1,38,A aliança do povo sobre guardar a Lei,156420,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,4,2,1,"Confiança em Deus, na angústia",170626,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,5,2,1,Proteção contra os ímpios,170733,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,10,1,2,A derrubada dos ímpios,171451,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,12,2,1,Auxílio contra a falsidade,171711,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,13,2,1,Oração de fé,171783,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,15,1,2,O cidadão dos céus,171944,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,18,2,1,Vitória e domínio,172276,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,19,2,1,A excelência da criação e da palavra de Deus,172729,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,20,2,1,Oração a favor do rei,172872,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,21,2,1,Ações de graças pela vitória,172983,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,22,2,1,Sofrimento e vitória do Messias,173106,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,30,2,1,Ações de graças pela libertação da morte,174203,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,31,2,1,Lamentos e louvor,174305,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,34,2,1,Provai que o Senhor é bom!,174879,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,36,2,1,Malícia humana e benignidade divina,175354,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,39,2,1,A vaidade da vida,176032,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,40,2,1,Oração para livramento,176199,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,41,2,1,A calúnia dos inimigos e o socorro de Deus,176394,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,42,2,1,A alma anela por Deus,176537,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
PSA,44,2,1,Apelo por auxílio divino,176767,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
