code,chapter,title,jsonVerse,txtVerse,onlineVerse,verdict,note
1KI,9,"A aliança do Senhor com Salomão,110863,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
1KI,9,"As demais atividades de Salomão,111000,""titulo igual no mesmo capitulo",10,2,,review,"título não encontrado na página ARA"
1KI,10,"A rainha de Sabá visita a Salomão,111223,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
1KI,10,"As riquezas de Salomão,111388,""titulo igual no mesmo capitulo",14,2,,review,"título não encontrado na página ARA"
1KI,11,"A morte de Salomão,112137,""titulo igual no mesmo capitulo",41,2,,review,"título não encontrado na página ARA"
1KI,12,"Roboão causa separação entre as tribos,112173,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
1KI,12,"Dez tribos seguem Jeroboão,112368,""titulo igual no mesmo capitulo",16,2,,review,"título não encontrado na página ARA"
1KI,14,"O reinado de Roboão, de Judá"",113314,""titulo igual no mesmo capitulo",21,2,,review,"título não encontrado na página ARA"
1KI,15,"O reinado de Abias, de Judá"",113449,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
1KI,15,"O reinado de Asa, de Judá"",113529,""titulo igual no mesmo capitulo",9,2,,review,"título não encontrado na página ARA"
1KI,22,"Aliança entre Josafá, de Judá, e Acabe"",116435,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
1KI,22,"As profecias dos falsos profetas,116477,""titulo igual no mesmo capitulo",5,2,,review,"título não encontrado na página ARA"
1KI,22,"A profecia de Micaías,116575,""titulo igual no mesmo capitulo",13,2,,review,"título não encontrado na página ARA"
1KI,22,"A morte de Acabe,116827,""titulo igual no mesmo capitulo",29,2,,review,"título não encontrado na página ARA"
1KI,22,"O reinado e a morte de Josafá,116986,""titulo igual no mesmo capitulo",41,2,,review,"título não encontrado na página ARA"
1KI,22,"O reinado de Acazias, de Israel"",117094,""titulo igual no mesmo capitulo",53,52,,review,"título não encontrado na página ARA"
2KI,5,"Geazi é atacado de lepra,118942,""titulo igual no mesmo capitulo",19,20,,review,"título não encontrado na página ARA"
2KI,8,"O reinado de Jeorão,120063,""titulo igual no mesmo capitulo",16,2,,review,"título não encontrado na página ARA"
2KI,8,"O reinado de Acazias,120149,""titulo igual no mesmo capitulo",25,2,,review,"título não encontrado na página ARA"
2KI,11,"Atalia usurpa o trono de Judá,121214,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
2KI,11,"Joás ungido rei de Judá,121252,""titulo igual no mesmo capitulo",4,2,,review,"título não encontrado na página ARA"
2KI,11,"A morte de Atalia,121397,""titulo igual no mesmo capitulo",13,2,,review,"título não encontrado na página ARA"
2KI,11,"A aliança de Joiada,121441,""titulo igual no mesmo capitulo",17,2,,review,"título não encontrado na página ARA"
2KI,12,"A conspiração contra o rei Joás,121791,""titulo igual no mesmo capitulo",21,2,,review,"título não encontrado na página ARA"
2KI,14,"O reinado de Amazias, de Judá"",122157,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
2KI,14,"Amazias vence os edomitas,122260,""titulo igual no mesmo capitulo",7,2,,review,"título não encontrado na página ARA"
2KI,14,"Amazias derrotado por Jeoás,122276,""titulo igual no mesmo capitulo",8,2,,review,"título não encontrado na página ARA"
2KI,14,"A morte de Amazias, rei de Judá"",122417,""titulo igual no mesmo capitulo",17,2,,review,"título não encontrado na página ARA"
2KI,15,"O reinado de Azarias, de Judá"",122598,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
2KI,15,"Azarias é atacado de lepra,122642,""titulo igual no mesmo capitulo",5,2,,review,"título não encontrado na página ARA"
2KI,15,"O reinado de Jotão, de Judá"",122970,""titulo igual no mesmo capitulo",32,2,,review,"título não encontrado na página ARA"
2KI,16,"O reinado de Acaz, de Judá"",123073,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
2KI,16,"A idolatria de Acaz,123171,""titulo igual no mesmo capitulo",10,2,,review,"título não encontrado na página ARA"
2KI,16,"A morte de Acaz,123324,""titulo igual no mesmo capitulo",19,2,,review,"título não encontrado na página ARA"
2KI,18,"O reinado de Ezequias, de Judá"",123940,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
2KI,18,"Senaqueribe invade Judá,124093,""titulo igual no mesmo capitulo",13,2,,review,"título não encontrado na página ARA"
2KI,18,"Rabsaqué afronta a Ezequias e ao SENHOR,124177,""titulo igual no mesmo capitulo",19,2,,review,"título não encontrado na página ARA"
2KI,19,"A destruição do exército dos assírios,124932,""titulo igual no mesmo capitulo",35,2,,review,"título não encontrado na página ARA"
2KI,20,"A doença de Ezequias e a sua cura maravilhosa,124976,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
2KI,20,"A morte de Ezequias,125203,""titulo igual no mesmo capitulo",20,2,,review,"título não encontrado na página ARA"
2KI,21,"O reinado de Manassés, de Judá"",125272,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
2KI,21,"A morte de Manassés,125463,""titulo igual no mesmo capitulo",17,2,,review,"título não encontrado na página ARA"
2KI,21,"O reinado de Amom, de Judá"",125495,""titulo igual no mesmo capitulo",19,2,,review,"título não encontrado na página ARA"
2KI,22,"O reinado de Josias,125592,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
2KI,22,"O rei repara o templo,125622,""titulo igual no mesmo capitulo",3,2,,review,"título não encontrado na página ARA"
2KI,22,"Hilquias acha o Livro da Lei,125676,""titulo igual no mesmo capitulo",8,2,,review,"título não encontrado na página ARA"
2KI,22,"Josias manda consultar a profetisa Hulda,125714,""titulo igual no mesmo capitulo",11,2,,review,"título não encontrado na página ARA"
2KI,23,"A purificação do templo e do culto,125960,""titulo igual no mesmo capitulo",4,2,,review,"título não encontrado na página ARA"
2KI,23,"A celebração da Páscoa,126225,""titulo igual no mesmo capitulo",21,2,,review,"título não encontrado na página ARA"
2KI,23,"A morte de Josias,126350,""titulo igual no mesmo capitulo",28,2,,review,"título não encontrado na página ARA"
2KI,23,"O reinado e deposição de Joacaz,126396,""titulo igual no mesmo capitulo",31,2,,review,"título não encontrado na página ARA"
2KI,23,"O reinado de Jeoaquim,126499,""titulo igual no mesmo capitulo",36,2,,review,"título não encontrado na página ARA"
2KI,24,"O reinado de Joaquim,126640,""titulo igual no mesmo capitulo",8,2,,review,"título não encontrado na página ARA"
2KI,24,"O reinado de Zedequias,126784,""titulo igual no mesmo capitulo",18,2,,review,"título não encontrado na página ARA"
2KI,25,"O cativeiro de Judá,126939,""titulo igual no mesmo capitulo",8,2,,review,"título não encontrado na página ARA"
1CH,3,"Filhos de Davi,128233,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
1CH,6,"Descendentes de Levi,129201,""titulo igual no mesmo capitulo",27,1,,review,"título não encontrado na página ARA"
1CH,6,"Cantores levitas,129445,""titulo igual no mesmo capitulo",16,31,,review,"título não encontrado na página ARA"
1CH,6,"Descendentes de Arão,129594,""titulo igual no mesmo capitulo",34,49,,review,"título não encontrado na página ARA"
1CH,6,"As cidades dos levitas,129636,""titulo igual no mesmo capitulo",39,54,,review,"título não encontrado na página ARA"
1CH,10,"A sepultura de Saul,131240,""titulo igual no mesmo capitulo",8,1,,review,"título não encontrado na página ARA"
1CH,11,"Davi é ungido rei,131320,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
1CH,11,"Davi conquista a Sião,131354,""titulo igual no mesmo capitulo",4,2,,review,"título não encontrado na página ARA"
1CH,11,"Os valentes de Davi,131451,""titulo igual no mesmo capitulo",10,2,,review,"título não encontrado na página ARA"
1CH,12,"O exército que proclamou a Davi rei em Hebrom,132034,""titulo igual no mesmo capitulo",24,23,,review,"título não encontrado na página ARA"
1CH,13,"Davi procura trazer a arca,132316,""titulo igual no mesmo capitulo",5,2,,review,"título não encontrado na página ARA"
1CH,14,"O reinado de Davi reconhecido por Hirão,132449,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
1CH,14,"Os filhos de Davi que nasceram em Jerusalém,132471,""titulo igual no mesmo capitulo",3,2,,review,"título não encontrado na página ARA"
1CH,14,"Davi derrota os filisteus,132503,""titulo igual no mesmo capitulo",8,2,,review,"título não encontrado na página ARA"
1CH,15,"Mical despreza a Davi,132994,""titulo igual no mesmo capitulo",29,2,,review,"título não encontrado na página ARA"
1CH,17,"A aliança do Senhor com Davi,133449,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
1CH,17,"Ações de graças de Davi,133624,""titulo igual no mesmo capitulo",16,2,,review,"título não encontrado na página ARA"
1CH,18,"Diversas vitórias de Davi,133789,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
1CH,18,"Oficiais de Davi,133950,""titulo igual no mesmo capitulo",14,2,,review,"título não encontrado na página ARA"
1CH,19,"Davi derrota os amonitas e os siros,133986,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
1CH,20,"Davi conquista a Rabá,134262,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
1CH,20,"Gigantes mortos pelos homens de Davi,134300,""titulo igual no mesmo capitulo",4,2,,review,"título não encontrado na página ARA"
1CH,21,"O levantamento do censo,134350,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
1CH,21,"Davi escolhe o castigo,134449,""titulo igual no mesmo capitulo",7,2,,review,"título não encontrado na página ARA"
1CH,21,"Davi erige um altar na eira de Ornã,134616,""titulo igual no mesmo capitulo",18,2,,review,"título não encontrado na página ARA"
1CH,29,"Salomão proclamado rei,137449,""titulo igual no mesmo capitulo",22,23,,review,"título não encontrado na página ARA"
2CH,1,"Salomão pede a Deus sabedoria,137632,""titulo igual no mesmo capitulo",7,1,,review,"título não encontrado na página ARA"
2CH,1,"As riquezas de Salomão,137769,""titulo igual no mesmo capitulo",14,1,,review,"título não encontrado na página ARA"
2CH,2,"Salomão faz aliança com Hirão,137837,""titulo igual no mesmo capitulo",18,1,,review,"título não encontrado na página ARA"
2CH,2,"Os preparativos para edificar o templo,138076,""titulo igual no mesmo capitulo",16,1,,review,"título não encontrado na página ARA"
2CH,3,"Os dois querubins,138237,""titulo igual no mesmo capitulo",10,1,,review,"título não encontrado na página ARA"
2CH,3,"As duas colunas,138328,""titulo igual no mesmo capitulo",15,1,,review,"título não encontrado na página ARA"
2CH,4,"Outros utensílios para o templo,138449,""titulo igual no mesmo capitulo",6,1,,review,"título não encontrado na página ARA"
2CH,5,"Salomão traz para o templo a arca,138660,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
2CH,6,"Salomão ora a Deus,139000,""titulo igual no mesmo capitulo",12,1,,review,"título não encontrado na página ARA"
2CH,7,"A conclusão da solenidade,139499,""titulo igual no mesmo capitulo",4,1,,review,"título não encontrado na página ARA"
2CH,7,"A aliança do Senhor com Salomão,139589,""titulo igual no mesmo capitulo",11,1,,review,"título não encontrado na página ARA"
2CH,9,"As riquezas de Salomão,140193,""titulo igual no mesmo capitulo",13,1,,review,"título não encontrado na página ARA"
2CH,9,"A morte de Salomão,140372,""titulo igual no mesmo capitulo",29,1,,review,"título não encontrado na página ARA"
2CH,10,"Dez tribos seguem Jeroboão,140599,""titulo igual no mesmo capitulo",16,1,,review,"título não encontrado na página ARA"
2CH,12,"O reinado de Roboão,141062,""titulo igual no mesmo capitulo",13,1,,review,"título não encontrado na página ARA"
2CH,14,"O reinado de Asa,141420,""titulo igual no mesmo capitulo",23,1,,review,"título não encontrado na página ARA"
2CH,14,"Asa vence a Zerá, o etíope"",141559,""titulo igual no mesmo capitulo",8,9,,review,"título não encontrado na página ARA"
2CH,16,"A morte de Asa,142044,""titulo igual no mesmo capitulo",11,1,,review,"título não encontrado na página ARA"
2CH,18,"As promessas dos falsos profetas,142358,""titulo igual no mesmo capitulo",4,1,,review,"título não encontrado na página ARA"
2CH,18,"A profecia de Micaías,142485,""titulo igual no mesmo capitulo",12,1,,review,"título não encontrado na página ARA"
2CH,18,"A morte de Acabe,142678,""titulo igual no mesmo capitulo",28,1,,review,"título não encontrado na página ARA"
2CH,20,"O reinado e a morte de Josafá,143360,""titulo igual no mesmo capitulo",31,1,,review,"título não encontrado na página ARA"
2CH,21,"O reinado de Jeorão,143444,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
2CH,22,"O reinado de Acazias,143730,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
2CH,22,"Atalia usurpa o trono,143883,""titulo igual no mesmo capitulo",10,2,,review,"título não encontrado na página ARA"
2CH,23,"Joás ungido rei de Judá,143923,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
2CH,23,"A morte de Atalia,144080,""titulo igual no mesmo capitulo",12,2,,review,"título não encontrado na página ARA"
2CH,23,"A aliança de Joiada,144163,""titulo igual no mesmo capitulo",16,2,,review,"título não encontrado na página ARA"
2CH,24,"O reinado de Joás,144247,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
2CH,24,"A conspiração contra o rei Joás,144601,""titulo igual no mesmo capitulo",25,2,,review,"título não encontrado na página ARA"
2CH,25,"O reinado de Amazias,144678,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
2CH,25,"Amazias vence os edomitas,144728,""titulo igual no mesmo capitulo",5,2,,review,"título não encontrado na página ARA"
2CH,25,"Amazias derrotado por Jeoás,144923,""titulo igual no mesmo capitulo",17,2,,review,"título não encontrado na página ARA"
2CH,25,"A morte de Amazias, de Judá"",145078,""titulo igual no mesmo capitulo",25,2,,review,"título não encontrado na página ARA"
2CH,26,"O reinado de Uzias,145126,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
2CH,26,"Uzias é atacado de lepra,145325,""titulo igual no mesmo capitulo",16,2,,review,"título não encontrado na página ARA"
2CH,27,"O reinado de Jotão,145492,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
2CH,28,"O reinado de Acaz,145637,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
2CH,28,"Acaz pede socorro aos assírios,145872,""titulo igual no mesmo capitulo",16,2,,review,"título não encontrado na página ARA"
2CH,28,"A idolatria de Acaz,145963,""titulo igual no mesmo capitulo",22,2,,review,"título não encontrado na página ARA"
2CH,28,"A morte de Acaz,146019,""titulo igual no mesmo capitulo",26,2,,review,"título não encontrado na página ARA"
2CH,29,"Ezequias manda abrir o templo,146063,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
2CH,32,"Senaqueribe afronta a Ezequias e ao Senhor,147461,""titulo igual no mesmo capitulo",9,2,,review,"título não encontrado na página ARA"
2CH,32,"A destruição do exército dos assírios,147634,""titulo igual no mesmo capitulo",21,2,,review,"título não encontrado na página ARA"
2CH,32,"Doença de Ezequias,147707,""titulo igual no mesmo capitulo",24,2,,review,"título não encontrado na página ARA"
2CH,32,"A morte de Ezequias,147805,""titulo igual no mesmo capitulo",32,2,,review,"título não encontrado na página ARA"
2CH,33,"O reinado de Manassés,147872,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
2CH,33,"A morte de Manassés,148111,""titulo igual no mesmo capitulo",18,2,,review,"título não encontrado na página ARA"
2CH,33,"O reinado de Amom,148157,""titulo igual no mesmo capitulo",21,2,,review,"título não encontrado na página ARA"
2CH,34,"O reinado de Josias,148242,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
2CH,34,"A purificação do templo e do culto,148260,""titulo igual no mesmo capitulo",3,2,,review,"título não encontrado na página ARA"
2CH,34,"O rei repara o templo,148326,""titulo igual no mesmo capitulo",8,2,,review,"título não encontrado na página ARA"
2CH,34,"Hilquias acha o Livro da Lei,148451,""titulo igual no mesmo capitulo",14,2,,review,"título não encontrado na página ARA"
2CH,34,"Josias manda consultar a profetisa Hulda,148513,""titulo igual no mesmo capitulo",19,2,,review,"título não encontrado na página ARA"
2CH,34,"Josias renova a aliança ante o Senhor,148686,""titulo igual no mesmo capitulo",29,2,,review,"título não encontrado na página ARA"
2CH,35,"A celebração da Páscoa,148797,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
2CH,35,"A morte de Josias no vale de Megido,149089,""titulo igual no mesmo capitulo",20,2,,review,"título não encontrado na página ARA"
2CH,36,"O reinado e deposição de Joacaz,149191,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
2CH,36,"O reinado de Jeoaquim,149280,""titulo igual no mesmo capitulo",5,2,,review,"título não encontrado na página ARA"
2CH,36,"O reinado de Joaquim,149332,""titulo igual no mesmo capitulo",9,2,,review,"título não encontrado na página ARA"
2CH,36,"O reinado de Zedequias,149356,""titulo igual no mesmo capitulo",11,2,,review,"título não encontrado na página ARA"
2CH,36,"O cativeiro de Judá,149453,""titulo igual no mesmo capitulo",17,2,,review,"título não encontrado na página ARA"
NEH,4,"A defesa contra os adversários,154022,""titulo igual no mesmo capitulo",33,1,,review,"título não encontrado na página ARA"
NEH,7,"Contribuições para o templo,155529,""titulo igual no mesmo capitulo",69,70,,review,"título não encontrado na página ARA"
NEH,9,"A aliança do povo sobre guardar a Lei,156420,""titulo igual no mesmo capitulo",1,38,,review,"título não encontrado na página ARA"
PSA,4,"Confiança em Deus, na angústia"",170626,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,5,"Proteção contra os ímpios,170733,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,10,"A derrubada dos ímpios,171451,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
PSA,12,"Auxílio contra a falsidade,171711,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,13,"Oração de fé,171783,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,15,"O cidadão dos céus,171944,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
PSA,18,"Vitória e domínio,172276,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,19,"A excelência da criação e da palavra de Deus,172729,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,20,"Oração a favor do rei,172872,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,21,"Ações de graças pela vitória,172983,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,22,"Sofrimento e vitória do Messias,173106,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,30,"Ações de graças pela libertação da morte,174203,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,31,"Lamentos e louvor,174305,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,34,"Provai que o Senhor é bom!,174879,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,36,"Malícia humana e benignidade divina,175354,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,39,"A vaidade da vida,176032,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,40,"Oração para livramento,176199,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,41,"A calúnia dos inimigos e o socorro de Deus,176394,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,42,"A alma anela por Deus,176537,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
PSA,44,"Apelo por auxílio divino,176767,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
